Country Name,Mean_GDP,Median_GDP,SD_GDP,Min_GDP,Max_GDP,Mean_Remittance,Mean_Life_Exp,Count
Namibia,3905.840037711803,4204.78555422749,1286.405030502982,1772.07565537493,5942.64680978673,41888307.0167345,56.52028571428571,29
Algeria,3757.7303864680052,4167.45169937531,1570.250974414676,1466.94806760415,6094.69392314956,1112114606.8176363,72.98032142857143,29
Tunisia,3365.045950936369,3619.03247319953,831.9241257955027,1968.16600944373,4458.97895464547,1678713728.8200452,74.63575,29
Jordan,3010.9917802308446,3435.8337590698,1193.0542642091063,1410.17424189419,4455.50540514568,3413429537.658006,73.50328571428572,29
Angola,2980.4819269147356,2773.3732074495247,1275.9793373740883,531.11713680614,5086.02740086376,14091223.32468241,57.90226315789474,20
Eswatini,2969.6229664292473,3223.92004062357,1003.3355131326225,1351.86550182919,4347.99569336631,88708040.40117015,50.50967857142857,29
Cabo Verde,2899.2209261122975,3539.22662027109,1281.7233119268992,1133.57422614008,4850.98415849643,163197576.8207864,72.20139285714286,29
Morocco,2671.85873097387,3119.58862304688,826.6370881898014,1426.30114746094,3785.93627929688,5728965918.754881,70.11146428571429,29
West Bank and Gaza,2398.1776044172198,2191.78178736868,983.7597832067595,1156.21747345769,3799.95527015163,1500628665.8216903,72.4195,29
"Egypt, Arab Rep.",2172.8605320348406,2161.63964573927,1028.2237137603956,916.326617700876,4233.30783744856,12819379310.344828,69.28057142857143,29
"Congo, Rep.",2039.2563316925896,2206.47101863414,969.3859095030355,660.379775085784,3732.32737320389,22894087.905121937,58.98571428571428,29
Nigeria,1756.014338912953,1822.46998452473,703.1282655921896,480.669363941805,3088.72131316169,13334218795.64614,49.91382142857143,29
Djibouti,1603.4318912095578,1150.9375857489,950.0915991654653,735.349107889529,3554.83918868372,34046029.200489685,59.55442857142857,29
Mauritania,1539.699557975427,1635.5630623124,397.0388363017396,821.266378551937,2120.82320358953,29374072.855367847,63.15327272727273,23
Comoros,1376.0766111568566,1439.47624436778,221.89833273943418,812.215996806703,1615.71723662012,126130768.55102049,61.706714285714284,22
Zimbabwe,1375.9178068771314,1372.21278071456,781.2905474425555,340.740182862316,3448.08253696926,1563968135.6666446,54.97427777777778,19
South Sudan,1375.87731816094,1386.1025187713499,224.27098850257704,1080.14718624765,1654.21153546555,142588201.275,54.917,8
Syrian Arab Republic,1329.7731669689203,1103.803062298095,645.4328003369585,572.355289831901,2952.14349372257,374388397.6219511,70.61207142857143,28
Cameroon,1264.180361803641,1415.00009710569,345.989969280165,708.565731625965,1736.86091073524,198214134.82559782,56.50903571428571,29
Zambia,1252.3976697769972,1295.87788680068,366.955259461947,446.290104839041,1820.71854827391,89867418.15164652,57.5943,21
Ghana,1238.721544175213,1182.65761256016,801.0838808724822,253.746936203344,2445.50081810782,1346583740.1487904,60.82082142857143,29
Senegal,1131.1095152131682,1266.43957151587,346.6746059622073,603.233162455158,1706.44218024762,1367628059.484112,62.75028571428572,29
Kenya,1076.3986158937869,1047.9678324485,616.7781587545086,340.064842175429,2109.56288513137,1289710601.140741,58.900821428571426,29
Sudan,893.9122303929823,905.543640136719,450.66491021952345,294.826965332031,2183.44140625,772198396.3835323,60.61864285714286,29
Benin,879.2808828055681,1002.41886882564,323.9137664547471,344.550491498963,1394.37330217623,163424765.33315948,57.99728571428572,29
Lesotho,853.2771335734964,916.282979328622,287.10263559073877,388.92334985135,1280.73390931581,570683460.9746168,49.20282142857143,29
"Yemen, Rep.",772.0024454740364,633.887206000087,330.9900607237202,342.73940747773,1430.16420964026,2247746293.8965516,64.77367857142858,29
Chad,766.0732790499342,695.642393675941,124.7938527373589,622.095543396442,982.527563074226,0.0,50.891555555555556,19
Guinea,758.2729774173923,699.353377212197,269.2348360758441,446.980554135348,1541.04050914957,89233133.24010466,55.68467857142857,29
Tanzania,713.6159941574628,693.823547363281,312.8979609278201,258.418334960938,1224.48962402344,225419223.01740405,58.977535714285715,29
"Gambia, The",690.0482551307936,696.219806960615,125.09697712259516,308.719123437587,888.157407724123,187471963.67296505,61.23255,21
Togo,666.6179749209098,718.948786366771,183.41831849311288,396.692654520135,985.697512629974,292278857.44911045,57.318285714285715,29
Uganda,629.7942489357189,792.16570022814,276.89262491949216,236.021188853993,1002.30913917142,790507732.7687422,56.889375,25
Guinea-Bissau,613.7567799354781,614.729892454585,170.82348324187814,316.945495037639,951.242748289294,66581112.08005724,54.79635714285714,29
Sierra Leone,609.3202346219158,648.129229488008,300.06012826307756,143.743743239644,1146.4163912665,75544437.74177617,51.77357142857143,29
Mali,579.9787489785145,662.883388148082,228.36191668513231,253.332746924326,869.270234286992,531798811.2814521,54.85882142857143,29
Liberia,577.0381749820933,648.266466116295,161.8139368515196,284.140223992458,771.887142089677,370168076.3625143,59.457631578947364,20
Burkina Faso,552.4684720305869,619.437533256264,229.955559493409,223.853958525611,895.535288442991,228649007.5427736,55.09457142857143,29
Rwanda,531.152673610676,564.039095842449,259.31611691507385,206.04911417485,1010.2689290184,125408784.05828008,57.55525,29
Malawi,468.33883076595777,495.769683367165,150.0562861274089,200.362370007247,763.061000394572,65290923.210197285,54.264535714285714,29
Eritrea,467.01829281218187,464.2225141908805,130.20122454634023,311.336209255125,688.68165957684,960094.609080247,58.708000000000006,10
Mozambique,466.98148094427967,470.93856305196,139.44381145696198,191.826096861406,697.142680444123,191609449.53657353,53.90967857142857,29
Somalia,445.4495435255871,460.928491979039,111.82591023485143,219.202453852397,597.458854603159,526263157.8947368,53.56977777777777,19
Central African Republic,434.67475560395866,449.228467602439,64.26763634577839,311.950023138687,544.395849142785,0.0,51.170833333333334,19
Ethiopia,429.1001725788994,330.619412798644,333.2029113375188,109.593813612988,1272.01628209211,380973480.2900511,57.65460714285714,29
"Congo, Dem. Rep.",422.8565147572493,436.584534687385,129.9393627638543,203.561668860749,642.612265820033,1034787326.0220366,57.62283333333333,19
Niger,415.28999209322745,474.425692340831,152.1398191534552,194.771959898935,642.937917863471,168350942.24351382,55.77289285714286,29
Madagascar,406.6609373141419,446.315238370592,95.04946321326658,267.360530991414,515.301589361832,226383963.48510486,61.541428571428575,29
Burundi,210.43897303322933,215.40958035905447,38.147030922059244,125.194965184533,280.966831311923,59893318.2141384,58.42005263157895,20
