topic,top_terms
Topic_1,"reduce, diaspora, initiatives, remittance, costs, strong, kenya strong, remittance transaction, reduce remittance, strong diaspora, transaction costs, inclusion"
Topic_2,"channels, formal, formal channels, plays, plays central, regional remittance, regional, remittance corridors, south africa, supporting, supporting formal, focuses"
