,PC1,PC2,PC3,PC4,PC5,PC6
Personal Remittance,-0.04594767033024572,0.7018805826412264,0.09384462673427263,-0.028679144890130102,0.043084255534660124,0.0782621701801387
GDP_Per_Capita,0.4371640704767685,0.002191915142888167,-0.23156762100132203,-0.45468300784059457,-0.3757303599850474,0.63688550391915
Life_Expectancy,0.4391564901573419,0.0935407964262976,-0.081493469843433,0.3842775235229845,0.6124300946219401,0.3271985259885631
Health_Expenditure_Per_Capita,0.46912223728404573,-0.009701308785683573,0.09602941291292329,-0.41683934284246327,-0.05061035861263172,-0.5815690042874205
Literacy_Rate,0.3800345381501628,0.05147164229928429,0.2567228660638884,0.643529078456402,-0.6068413611313953,-0.06669871031992851
Physicians_per_1000,0.48436883120161056,0.0922857332995427,0.10556026445582453,-0.08574482971581934,0.3001865673410254,-0.22846900086302635
Remit_GDP_Ratio,-0.10990629534620668,0.6881402565221352,0.040896209354776863,-0.09816182308088674,-0.10444731711382554,-0.049438107373669896
Health_GDP_Ratio,-0.052186991964967656,-0.11752381908799675,0.9181419769478686,-0.19974739560405588,0.10030333727711074,0.2896197104566842
