variable,count,mean,std,min,p25,median,p75,max
Personal Remittance,1692,1058778331.6256386,3137743338.919373,0.0,18458042.2530413,136212684.1781255,687384725.749591,31487000000.0
GDP_Per_Capita,1692,5122.89224738425,10893.369844904659,109.593813612988,625.6416104584102,1369.4968375746948,4167.6600772498505,108470.378825036
Life_Expectancy,1630,62.687686577884186,9.456250051286712,39.969,55.75125,61.4015,71.2255487804878,82.8585365853659
Health_Expenditure_Per_Capita,1263,260.96276695673,495.93998627630344,5.19038343,32.841676715000006,66.04714203,253.2395401,4339.0
Literacy_Rate,332,70.18272663024534,22.007914506613343,13.0,54.07499885559083,75.0,90.0,98.0
Physicians_per_1000,777,0.8035387387387387,1.0417752778260982,0.011,0.083,0.223,1.197,4.276
Remit_GDP_Ratio,1692,602573.1118654789,1398776.5364236073,0.0,7835.808303035383,104447.25923861889,591872.016533232,12244204.436568193
Health_GDP_Ratio,1263,0.05208549094369791,0.02102817671121408,0.01220890880498825,0.03726287605619939,0.04833523434157639,0.06325547127473875,0.1680780595235935
